Feature,Coef_Dropout,Coef_Enrolled,Coef_Graduate
Mother's occupation_134,-0.4769291909317779,0.5159015160147282,-0.03897232508295127
Mother's occupation_141,-0.25431875686531397,0.3893761303958674,-0.1350573735305539
Mother's occupation_143,-0.10186761255555431,0.13716208822769305,-0.03529447567213856
Mother's occupation_144,-0.39929731038994004,-0.12004838039232961,0.5193456907822726
Mother's occupation_151,-0.25548070491341296,0.10717226008268677,0.14830844483072841
Mother's occupation_152,-0.003907987294811792,-0.03640298300365044,0.040310970298462055
Mother's occupation_153,-0.009150835349876412,-0.08721694922015687,0.09636778457003363
Mother's occupation_171,-0.312518914470055,-0.15106885866123315,0.4635877731312878
Mother's occupation_173,-0.08629298340736621,0.1349525199093035,-0.048659536501937536
Mother's occupation_175,-0.10322173101557479,0.2078397847199591,-0.10461805370438503
Mother's occupation_191,-1.1335960522937736,0.6645526871781835,0.46904336511559064
Mother's occupation_192,-0.3601831576477807,0.718608777649094,-0.3584256200013152
Mother's occupation_193,0.10667874052277179,-0.18057586514355423,0.07389712462078189
Mother's occupation_194,-0.07142335898894181,0.1291067245685109,-0.05768336557956943
Father's occupation_0,0.19026704068941372,-0.8016506662560248,0.6113836255666172
Father's occupation_1,0.21147140272384235,-0.3378758246972842,0.126404421973445
Father's occupation_2,-0.09742461994103958,0.17210092280988853,-0.0746763028688475
Father's occupation_3,0.29123732496717913,-0.45204413706034574,0.1608068120931648
Father's occupation_4,0.5523398437470098,-0.23734167793859465,-0.31499816580842016
Father's occupation_5,0.08453619439783704,0.010915409278762639,-0.0954516036765996
Father's occupation_6,-0.11768322661121793,-0.019378703841968447,0.13706193045318785
Father's occupation_7,0.1901309043476504,-0.11168005332913279,-0.07845085101851694
Father's occupation_8,0.20129113336933693,-0.13199654811364636,-0.06929458525568999
Father's occupation_9,0.3783704569340654,-0.2505099950826673,-0.12786046185139516
Father's occupation_10,0.19371454370287605,-0.04217265060012829,-0.15154189310274818
Father's occupation_90,1.0736512608102922,-1.016825492012541,-0.056825768797741226
Father's occupation_99,-0.15041092352520125,0.2129585885976086,-0.06254766507240489
Father's occupation_101,-0.012174982219711944,-0.06851866327355885,0.08069364549327045
Father's occupation_102,-0.13860093756633282,0.23730708024069264,-0.09870614267435991
Father's occupation_103,0.4267511122153839,-0.3022488907388089,-0.12450222147657673
Father's occupation_112,-0.1095142916225152,0.351941167747583,-0.24242687612506722
Father's occupation_122,-0.09006365305842479,0.42684667814733546,-0.3367830250889121
Father's occupation_123,-0.36487195602806494,0.4022977310049904,-0.03742577497692564
Father's occupation_131,-0.06838152669616475,-0.4396370455740221,0.50801857227019
Father's occupation_134,-0.36259107405483526,0.3630811074889725,-0.0004900334341402011
Father's occupation_135,-0.051429472920581656,0.24998550659590013,-0.19855603367531735
Father's occupation_141,-0.020099688520431584,-0.08176608851360048,0.10186577703403235
Father's occupation_143,-0.0042797764431916465,-0.08737600019701736,0.09165577664020924
Father's occupation_144,-0.09051162685711116,0.37834550583396137,-0.28783387897684576
Father's occupation_151,-0.05808393339434846,-0.2742153906320976,0.3322993240264461
Father's occupation_152,-0.037007444273018816,0.3777547435807359,-0.34074729930771647
Father's occupation_153,-0.006607967732123115,-0.04974376445180591,0.056351732183929366
Father's occupation_154,-0.01652908158986773,-0.5377757902115152,0.5543048718013843
Father's occupation_161,-0.19401111875257473,0.4182329671809448,-0.2242218484283701
Father's occupation_163,-0.5524552757399178,0.527169239039254,0.025286036700660052
Father's occupation_171,-0.28326695077451713,0.2504264233737881,0.03284052740073063
Father's occupation_172,-0.09229788783438835,0.03448194089544202,0.05781594693894697
Father's occupation_175,-0.0809080104937823,0.21476448530549774,-0.13385647481171517
Father's occupation_181,-0.13254450429930553,0.20902220476163305,-0.07647770046232731
Father's occupation_182,-0.15283152084527937,0.18537714266890348,-0.032545621823621806
Father's occupation_183,-0.11907792553689447,0.44824787752768547,-0.3291699519907932
Father's occupation_192,-0.13979559609357586,-0.28307511172944577,0.4228707078230225
Father's occupation_193,-0.3103892677609057,0.34234933949241086,-0.031960071731503545
Father's occupation_194,0.07851622968137192,-0.2746971041881107,0.1961808745067393
Father's occupation_195,-0.00913659709777863,-0.14180105957572872,0.150937656673508
